timestamp,model,features,notes,train_size,test_size,home_win_rate_train,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
2026-04-11 18:26:27,Baseline 1 - Always Home Team,BASELINE,baseline,37505,9377,0.6050926543127583,0.5748107070491628,0.5748107070491628,1.0,0.7300060946705492,0.5,0,3987,0,5390
2026-04-11 18:26:27,Baseline 2 - Weighted Random,BASELINE,baseline,37505,9377,0.6050926543127583,0.5238349152180868,0.5807578138641523,0.6170686456400742,0.5983628676801296,0.5,1586,2401,2064,3326
2026-04-11 18:26:27,Logistic Regression,"netRatingDiff,restDiff",net & rest only,37505,9377,0.6050926543127583,0.6478617894849099,0.6563342318059299,0.8131725417439704,0.7263838249917136,0.6909906639993709,1692,2295,1007,4383
2026-04-11 18:26:27,Random Forest,"netRatingDiff,restDiff",net & rest only,37505,9377,0.6050926543127583,0.6455156233336888,0.6544095665171898,0.8122448979591836,0.7248344370860927,0.6881632932261761,1675,2312,1012,4378
2026-04-11 18:27:12,Logistic Regression,b2bDiff,all combinations,37505,9377,0.6050926543127583,0.5748107070491628,0.5748107070491628,1.0,0.7300060946705492,0.5341938991890621,0,3987,0,5390
2026-04-11 18:27:12,Random Forest,b2bDiff,all combinations,37505,9377,0.6050926543127583,0.5748107070491628,0.5748107070491628,1.0,0.7300060946705492,0.5341938991890621,0,3987,0,5390
2026-04-11 18:27:12,Logistic Regression,defRatingDiff,all combinations,37505,9377,0.6050926543127583,0.598698944225232,0.6021086983808209,0.8899814471243043,0.7182750617653665,0.6206431570507676,817,3170,593,4797
2026-04-11 18:27:12,Random Forest,defRatingDiff,all combinations,37505,9377,0.6050926543127583,0.5975258611496214,0.6020459712048497,0.8844155844155844,0.7164111812443643,0.6172414475058783,836,3151,623,4767
2026-04-11 18:27:17,Logistic Regression,netRatingDiff,all combinations,37505,9377,0.6050926543127583,0.6475418577370161,0.656086240455158,0.812987012987013,0.7261579252630707,0.6908754472443606,1690,2297,1008,4382
2026-04-11 18:27:17,Random Forest,netRatingDiff,all combinations,37505,9377,0.6050926543127583,0.6460488429135118,0.6515439777550125,0.825974025974026,0.7284627341896425,0.688196634423658,1606,2381,938,4452
2026-04-11 18:27:21,Logistic Regression,offRatingDiff,all combinations,37505,9377,0.6050926543127583,0.6193878639223632,0.6266870738834006,0.835621521335807,0.7162280353025364,0.6460840030656219,1304,2683,886,4504
2026-04-11 18:27:21,Random Forest,offRatingDiff,all combinations,37505,9377,0.6050926543127583,0.6183214247627173,0.6271234030605082,0.828756957328386,0.7139774634380245,0.6424314085713634,1331,2656,923,4467
2026-04-11 18:27:26,Logistic Regression,restDiff,all combinations,37505,9377,0.6050926543127583,0.5748107070491628,0.5748107070491628,1.0,0.7300060946705492,0.5260432211738242,0,3987,0,5390
