model,features,num_features,roc_auc,f1,accuracy,precision,recall
Logistic Regression,"absNetRatingDiff,b2bDiff,closeGame,defRatingDiff,netRating_b2b,offRatingDiff",6,0.6958511730843236,0.7275456592444334,0.6515943265436707,0.6608089683381306,0.8092764378478664
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff",5,0.695850382016135,0.7292983039574327,0.6527674096192813,0.6607411871045495,0.8137291280148423
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,restDiff",7,0.6958475900107631,0.7293139293139294,0.6528740535352459,0.6608892238131123,0.813543599257885
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",8,0.6958474504104947,0.7291025534392415,0.6526607657033167,0.66078697421981,0.8131725417439704
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,offRatingDiff",5,0.6958470781431116,0.7292983039574327,0.6527674096192813,0.6607411871045495,0.8137291280148423
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b,offRatingDiff",7,0.6958467989425745,0.729163200798536,0.6527674096192813,0.6608866103739445,0.8131725417439704
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff",6,0.6958461009412317,0.7292983039574327,0.6527674096192813,0.6607411871045495,0.8137291280148423
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,offRatingDiff,restDiff",6,0.6958460544078087,0.7292376756172583,0.6526607657033167,0.6606416629010393,0.8137291280148423
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,netRating_b2b",6,0.6958452168061973,0.729208250166334,0.6527674096192813,0.6608381067229424,0.8133580705009277
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,netRatingDiff,netRating_b2b,offRatingDiff",6,0.6958449841390828,0.729208250166334,0.6527674096192813,0.6608381067229424,0.8133580705009277
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRating_b2b,offRatingDiff,restDiff",7,0.6958447980053913,0.7291025534392415,0.6526607657033167,0.66078697421981,0.8131725417439704
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,netRatingDiff,netRating_b2b,offRatingDiff,restDiff",7,0.6958444722714314,0.7291025534392415,0.6526607657033167,0.66078697421981,0.8131725417439704
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRating_b2b,offRatingDiff",6,0.6958443326711626,0.729163200798536,0.6527674096192813,0.6608866103739445,0.8131725417439704
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,defRatingDiff,netRatingDiff,offRatingDiff,restDiff",7,0.6958437742700884,0.7292376756172583,0.6526607657033167,0.6606416629010393,0.8137291280148423
Logistic Regression,"absNetRatingDiff,b2bDiff,close_b2b,netRatingDiff,offRatingDiff",5,0.6958437277366656,0.7292983039574327,0.6527674096192813,0.6607411871045495,0.8137291280148423
