model,features,notes,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,timestamp,train_size,test_size,num_features,selection_type,subset_name,selected_features,removed_feature
Random Forest,"reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff",feature selection redundancy - all_rebounds,0.5525114155251142,0.5972850678733032,0.5523012552301255,0.5739130434782609,0.5793822669834527,110,89,107,132,2026-04-28 19:08:23,1751,438,3,redundancy_check,all_rebounds,"reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff",
XGBoost,"reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff",feature selection redundancy - all_rebounds,0.5662100456621004,0.5813953488372093,0.7322175732217573,0.6481481481481481,0.5891486722314502,73,126,64,175,2026-04-28 19:08:23,1751,438,3,redundancy_check,all_rebounds,"reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff",
Soft Voting Ensemble,"reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff",feature selection redundancy - all_rebounds,0.5707762557077626,0.5882352941176471,0.7112970711297071,0.6439393939393939,0.5934168751708332,80,119,69,170,2026-04-28 19:08:23,1751,438,3,redundancy_check,all_rebounds,"reboundsTotalDiff,offensiveReboundsDiff,defensiveReboundsDiff",
Logistic Regression,"closeGame,netRating_b2b",feature selection redundancy - base_interactions,0.545662100456621,0.545662100456621,1.0,0.7060561299852289,0.5162317865478019,0,199,0,239,2026-04-28 19:08:24,1751,438,2,redundancy_check,base_interactions,"closeGame,netRating_b2b",
Random Forest,"closeGame,netRating_b2b",feature selection redundancy - base_interactions,0.5684931506849316,0.5664893617021277,0.891213389121339,0.6926829268292682,0.5318433170034272,36,163,26,213,2026-04-28 19:08:24,1751,438,2,redundancy_check,base_interactions,"closeGame,netRating_b2b",
XGBoost,"closeGame,netRating_b2b",feature selection redundancy - base_interactions,0.5502283105022832,0.5538461538461539,0.9037656903765691,0.6868044515103339,0.5177666575555603,25,174,23,216,2026-04-28 19:08:24,1751,438,2,redundancy_check,base_interactions,"closeGame,netRating_b2b",
Soft Voting Ensemble,"closeGame,netRating_b2b",feature selection redundancy - base_interactions,0.547945205479452,0.5526992287917738,0.899581589958159,0.6847133757961783,0.5372363911608251,25,174,24,215,2026-04-28 19:08:24,1751,438,2,redundancy_check,base_interactions,"closeGame,netRating_b2b",
Logistic Regression,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",feature selection redundancy - expanded_interactions,0.5342465753424658,0.5425790754257908,0.9330543933054394,0.6861538461538461,0.4947330796240617,11,188,16,223,2026-04-28 19:08:24,1751,438,5,redundancy_check,expanded_interactions,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",
Random Forest,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",feature selection redundancy - expanded_interactions,0.54337899543379,0.5652173913043478,0.7071129707112971,0.6282527881040892,0.5351128025062551,69,130,70,169,2026-04-28 19:08:24,1751,438,5,redundancy_check,expanded_interactions,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",
XGBoost,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",feature selection redundancy - expanded_interactions,0.5365296803652968,0.550561797752809,0.8200836820083682,0.6588235294117647,0.5325056243560902,39,160,43,196,2026-04-28 19:08:24,1751,438,5,redundancy_check,expanded_interactions,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",
Soft Voting Ensemble,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",feature selection redundancy - expanded_interactions,0.5365296803652968,0.5517241379310345,0.803347280334728,0.6541737649063032,0.5229705010407687,43,156,47,192,2026-04-28 19:08:24,1751,438,5,redundancy_check,expanded_interactions,"closeGame,netRating_b2b,close_b2b,absRating_b2b,netRating_rest",
